What is your age?,What is your favorite coffee drink?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,Gender,Gender (please specify),Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
55-64 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Independent
55-64 years old,Regular drip coffee,Half and half,"Artificial Sweeteners (e.g., Splenda)",Nutty,Medium,Medium,Full caffeine,,,,,,,,
55-64 years old,Pourover,Almond milk,,Nutty,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Other,Oat milk,,Bold,Medium,Medium,Full caffeine,Male,,Less than high school,White/Caucasian,,Employed full-time,None,Republican
35-44 years old,Cappuccino,,,Fruity,Somewhat strong,Light,Half caff,Non-binary,,Some college or associate's degree,White/Caucasian,,Employed part-time,None,Democrat
35-44 years old,Latte,"Whole milk, Half and half",,Sweet,Medium,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Homemaker,None,No affiliation
18-24 years old,Latte,,,Floral,Somewhat strong,Light,Full caffeine,,,,,,,,
45-54 years old,Americano,"Half and half, Whole milk","Stevia, Granulated Sugar",Chocolatey,Very strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,1,
35-44 years old,Cortado,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,3,
35-44 years old,Americano,Oat milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,2,No affiliation
25-34 years old,Latte,Whole milk,Granulated Sugar,Nutty,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,,,Fruity,Medium,Light,Full caffeine,Male,,High school graduate,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,Half and half,,Full Bodied,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Republican
35-44 years old,Americano,,,Full Bodied,Medium,Medium,Full caffeine,Male,,Some college or associate's degree,Hispanic/Latino,,Employed full-time,1,Independent
25-34 years old,Cappuccino,Oat milk,,Chocolatey,Medium,,Full caffeine,,,,,,,,
35-44 years old,Latte,Almond milk,,Bright,Medium,,,,,,,,,,
25-34 years old,Latte,Whole milk,,Juicy,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
35-44 years old,Regular drip coffee,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Iced coffee,,,Full Bodied,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Pourover,,,Juicy,Somewhat strong,Nordic,Full caffeine,,,,,,,,
18-24 years old,Iced coffee,,,Floral,,Light,Full caffeine,,,,,,,,
25-34 years old,Cortado,Whole milk,,Sweet,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Independent
25-34 years old,Latte,"Whole milk, Oat milk",,Sweet,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
55-64 years old,Latte,Half and half,Granulated Sugar,Bold,Somewhat strong,Medium,Full caffeine,Male,,,,,,,
25-34 years old,Other,,,Bright,Very strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Cappuccino,"Skim milk, Half and half",,Chocolatey,Medium,Medium,Full caffeine,,,,,,,,
25-34 years old,Cold brew,Half and half,"Granulated Sugar, Raw Sugar (Turbinado)",Sweet,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Latte,Skim milk,"Artificial Sweeteners (e.g., Splenda)",Caramalized,Somewhat strong,Medium,Full caffeine,Non-binary,,High school graduate,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
55-64 years old,Espresso,,,Chocolatey,Medium,Medium,Decaf,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,
25-34 years old,Regular drip coffee,"Oat milk, Coffee creamer",,Full Bodied,Somewhat strong,Dark,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Independent
18-24 years old,Americano,,,Full Bodied,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,Other (please specify),South Asia/Pakistan,Employed full-time,None,Independent
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Decaf,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Regular drip coffee,,,Chocolatey,Very strong,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
25-34 years old,Iced coffee,Half and half,,Caramalized,Medium,Medium,Half caff,Female,,Bachelor's degree,White/Caucasian,,Employed part-time,None,Democrat
25-34 years old,Espresso,,,Caramalized,Very strong,Dark,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Republican
55-64 years old,Pourover,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,More than 3,Democrat
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Prefer not to say,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Cappuccino,"Whole milk, Oat milk",,Bright,Medium,Medium,Full caffeine,Male,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
25-34 years old,,,,Juicy,,Light,Full caffeine,,,,,,,,
25-34 years old,Pourover,,,Chocolatey,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,Hispanic/Latino,,Employed part-time,None,Democrat
25-34 years old,Regular drip coffee,,,Nutty,Somewhat strong,Light,Full caffeine,Female,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Full Bodied,Somewhat strong,Light,Full caffeine,,,,,,,,
25-34 years old,Cappuccino,Whole milk,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Espresso,,,Bright,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Floral,,Light,Full caffeine,,,,,,,,
18-24 years old,Espresso,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,
25-34 years old,Regular drip coffee,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
25-34 years old,Cortado,Whole milk,,Caramalized,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,,,Bright,Medium,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,1,Democrat
35-44 years old,Pourover,,,Juicy,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
35-44 years old,Pourover,Half and half,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Espresso,"Coffee creamer, Whole milk",,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Republican
18-24 years old,Pourover,,,Fruity,Very strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
45-54 years old,Pourover,,,Juicy,Somewhat light,Nordic,,,,,,,,,
55-64 years old,Latte,,,Bright,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Americano,,,Floral,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Iced coffee,Whole milk,Granulated Sugar,Caramalized,Somewhat light,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
35-44 years old,Latte,Flavored coffee creamer,,Bold,Very strong,Dark,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Homemaker,1,Democrat
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cold brew,"Oat milk, Almond milk",,Chocolatey,Medium,Blonde,Half caff,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Cappuccino,Coffee creamer,,Sweet,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
25-34 years old,Regular drip coffee,Almond milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Latte,Whole milk,,Full Bodied,Somewhat strong,Dark,Decaf,Female,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Mocha,,,Sweet,Somewhat light,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Iced coffee,Flavored coffee creamer,"Artificial Sweeteners (e.g., Splenda)",Full Bodied,Medium,Light,Full caffeine,,,,,,,,
25-34 years old,Americano,,,Caramalized,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,Hispanic/Latino,,Employed full-time,None,Democrat
25-34 years old,Cortado,"Half and half, Oat milk",,Nutty,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Americano,,,Chocolatey,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Pourover,,,Juicy,Medium,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Unemployed,None,Independent
35-44 years old,Cold brew,"Whole milk, Coffee creamer",,Full Bodied,Very strong,Dark,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Iced coffee,"Almond milk, Oat milk, Skim milk, Soy milk",,Chocolatey,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Cappuccino,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,No affiliation
35-44 years old,Cappuccino,Skim milk,,Full Bodied,Somewhat strong,Medium,Full caffeine,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,No affiliation
35-44 years old,Americano,Almond milk,,Chocolatey,Medium,Dark,Half caff,Female,,Master's degree,Hispanic/Latino,,Employed part-time,None,Democrat
25-34 years old,Latte,"Oat milk, Almond milk","Honey, Maple Syrup, Granulated Sugar, Brown Sugar",Nutty,Medium,Medium,Full caffeine,,,,,,,,
18-24 years old,Iced coffee,Soy milk,,Nutty,Somewhat strong,Dark,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
25-34 years old,Latte,,,Bold,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,,,Chocolatey,Medium,Medium,Full caffeine,Male,,Bachelor's degree,Hispanic/Latino,,Employed full-time,None,Republican
35-44 years old,Mocha,Whole milk,,Chocolatey,Medium,Medium,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Cold brew,,,Chocolatey,Medium,Medium,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,
25-34 years old,Regular drip coffee,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Latte,,,Fruity,Medium,Light,Full caffeine,,,,,,,,
25-34 years old,Latte,"Oat milk, Flavored coffee creamer","Granulated Sugar, Honey, Maple Syrup, Raw Sugar (Turbinado)",Sweet,Somewhat light,Dark,Full caffeine,Female,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Espresso,,,Full Bodied,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Republican
18-24 years old,Latte,,,Caramalized,Somewhat strong,,Full caffeine,,,,,,,,
18-24 years old,Pourover,,,Bright,Very strong,Light,Full caffeine,,,,,,,,
18-24 years old,Latte,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Latte,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
35-44 years old,Pourover,,Granulated Sugar,Fruity,Somewhat strong,Light,Full caffeine,,,,,,,,
25-34 years old,Cold brew,,"Brown Sugar, Raw Sugar (Turbinado), Granulated Sugar",Chocolatey,Medium,Medium,Full caffeine,,,Master's degree,White/Caucasian,,Employed part-time,None,Independent
35-44 years old,Latte,Whole milk,,Chocolatey,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Espresso,,,Caramalized,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Student,None,No affiliation
25-34 years old,Regular drip coffee,,,Full Bodied,,Medium,Full caffeine,,,,,,,,
25-34 years old,Latte,Coffee creamer,,Full Bodied,Medium,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
45-54 years old,Espresso,,,Fruity,Somewhat strong,Light,Full caffeine,,,,,,,,
25-34 years old,Cappuccino,Whole milk,,Full Bodied,,Medium,,,,,,,,,
25-34 years old,Cold brew,,"Raw Sugar (Turbinado), Maple Syrup, Granulated Sugar",Caramalized,Medium,Medium,Full caffeine,Male,,Master's degree,Other (please specify),Mutt,Employed full-time,None,Independent
25-34 years old,Blended drink (e.g. Frappuccino),Oat milk,,Bright,Somewhat light,Light,Half caff,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cortado,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,,,Nutty,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,"Almond milk, Oat milk",,Full Bodied,Somewhat strong,Dark,Full caffeine,Female,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Pourover,Whole milk,,Sweet,Somewhat strong,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Cappuccino,"Half and half, Oat milk",,Chocolatey,Somewhat strong,Medium,Decaf,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Americano,Half and half,,Bold,Somewhat strong,Dark,Decaf,Female,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Americano,,,Nutty,Somewhat light,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,3,Democrat
18-24 years old,Latte,Whole milk,,Caramalized,Medium,Medium,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Unemployed,None,Democrat
25-34 years old,Cold brew,Whole milk,,Chocolatey,Medium,Medium,Full caffeine,,,,,,,,
35-44 years old,Cappuccino,"Oat milk, Whole milk",,Fruity,Somewhat strong,Light,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Latte,"Whole milk, Half and half",,Caramalized,Very strong,Medium,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Regular drip coffee,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Latte,Whole milk,,Sweet,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Mocha,"Coffee creamer, Skim milk, Half and half, Whole milk","Granulated Sugar, Brown Sugar",Chocolatey,Medium,Medium,Full caffeine,Male,,Bachelor's degree,Hispanic/Latino,,Student,None,No affiliation
35-44 years old,Latte,Flavored coffee creamer,,Sweet,Medium,Light,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed part-time,None,Independent
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Iced coffee,,,Bright,Somewhat strong,Light,Full caffeine,Non-binary,,Master's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
25-34 years old,Regular drip coffee,,,Fruity,Medium,Light,Full caffeine,Female,,Master's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Cortado,Half and half,,Bright,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
25-34 years old,Pourover,,,Juicy,Somewhat light,Nordic,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Homemaker,None,Democrat
25-34 years old,Cappuccino,Skim milk,,Bold,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
25-34 years old,Cold brew,,,Full Bodied,Medium,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Latte,Oat milk,,Nutty,Medium,Medium,Full caffeine,Female,,,,,,,
55-64 years old,Other,Half and half,,Full Bodied,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,None,No affiliation
55-64 years old,Mocha,,,Chocolatey,Somewhat strong,Medium,Decaf,Female,,Some college or associate's degree,White/Caucasian,,Homemaker,More than 3,Republican
25-34 years old,Americano,,,Fruity,Somewhat strong,Light,Full caffeine,Female,,Bachelor's degree,Black/African American,,Employed full-time,None,Independent
>65 years old,Regular drip coffee,,,Full Bodied,Somewhat strong,Medium,Half caff,Male,,Master's degree,White/Caucasian,,Employed full-time,More than 3,Republican
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
35-44 years old,Other,"Half and half, Coffee creamer, Flavored coffee creamer, Oat milk",,Bright,Medium,Light,Full caffeine,Female,,Some college or associate's degree,White/Caucasian,,Employed full-time,3,No affiliation
25-34 years old,Cold brew,,,Fruity,Very strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Latte,Oat milk,"Maple Syrup, Stevia",Caramalized,Somewhat strong,Dark,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Pourover,,,Chocolatey,Medium,Medium,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
25-34 years old,Regular drip coffee,,,Bold,Very strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
55-64 years old,Latte,Whole milk,Granulated Sugar,Chocolatey,Medium,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed part-time,1,No affiliation
35-44 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,2,Democrat
35-44 years old,Americano,,,Full Bodied,Medium,Medium,Full caffeine,Male,,Master's degree,Asian/Pacific Islander,,Employed full-time,None,Independent
35-44 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Latte,"Whole milk, Oat milk",Granulated Sugar,Sweet,Medium,Medium,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
45-54 years old,Pourover,,,Full Bodied,Very strong,Dark,Full caffeine,Male,,High school graduate,,,,,
25-34 years old,Latte,,,Nutty,Very strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,None,Democrat
35-44 years old,Cold brew,"Half and half, Flavored coffee creamer",,Nutty,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Mocha,,,Sweet,Very strong,Medium,Decaf,Male,,Master's degree,White/Caucasian,,Employed full-time,1,Democrat
25-34 years old,Latte,Whole milk,,Bright,Medium,Light,Full caffeine,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Pourover,,,Nutty,Medium,Medium,Half caff,Non-binary,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
35-44 years old,Cortado,Whole milk,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,Hispanic/Latino,,Employed full-time,None,Democrat
35-44 years old,Blended drink (e.g. Frappuccino),"Oat milk, Almond milk, Soy milk","Granulated Sugar, Honey, Brown Sugar, Raw Sugar (Turbinado)",Chocolatey,Weak,French,Decaf,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
55-64 years old,Latte,Whole milk,,Nutty,Medium,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,No affiliation
25-34 years old,Iced coffee,Skim milk,Granulated Sugar,Sweet,Medium,Medium,Full caffeine,Female,,Doctorate or professional degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
25-34 years old,Latte,Whole milk,,Full Bodied,Medium,Medium,Full caffeine,Female,,High school graduate,Asian/Pacific Islander,,Employed full-time,None,No affiliation
35-44 years old,Pourover,,"Brown Sugar, Raw Sugar (Turbinado)",Bright,Somewhat strong,Light,Full caffeine,,,,,,,,
25-34 years old,Mocha,,,Fruity,Somewhat strong,Medium,Full caffeine,Male,,Master's degree,White/Caucasian,,Employed full-time,None,Independent
35-44 years old,Pourover,Whole milk,,Fruity,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,1,Democrat
18-24 years old,Iced coffee,Half and half,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,Some college or associate's degree,Other (please specify),Huge mix,Employed full-time,None,No affiliation
18-24 years old,Mocha,Whole milk,,Chocolatey,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Mocha,"Coffee creamer, Flavored coffee creamer","Granulated Sugar, Brown Sugar, Raw Sugar (Turbinado), Honey",Chocolatey,Very strong,Dark,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,3,Democrat
35-44 years old,Cappuccino,,,Full Bodied,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Democrat
25-34 years old,Latte,Whole milk,,Nutty,Very strong,Dark,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
45-54 years old,Other,,,Full Bodied,Medium,Medium,Full caffeine,Female,,,,,,,
25-34 years old,Regular drip coffee,Half and half,,Nutty,Medium,Medium,Decaf,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Bright,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,Independent
35-44 years old,Cappuccino,,,Nutty,Medium,Light,Decaf,Female,,Master's degree,White/Caucasian,,Employed full-time,2,Democrat
35-44 years old,Pourover,,,Full Bodied,Somewhat strong,Medium,Full caffeine,Male,,,,,,,
25-34 years old,Regular drip coffee,"Whole milk, Half and half","Raw Sugar (Turbinado), Honey",Bright,Somewhat strong,Medium,Full caffeine,Non-binary,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,Independent
35-44 years old,Pourover,,,Juicy,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Homemaker,1,Democrat
25-34 years old,Cortado,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
>65 years old,Espresso,,,Full Bodied,Very strong,Dark,Full caffeine,Male,,Master's degree,,,Retired,,
25-34 years old,Latte,Oat milk,,Full Bodied,Somewhat strong,Medium,Half caff,Male,,Bachelor's degree,White/Caucasian,,Unemployed,None,Democrat
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
18-24 years old,Pourover,,,Floral,Medium,Light,Full caffeine,Male,,Bachelor's degree,Other (please specify),Mix of white/asian,Employed full-time,None,Democrat
35-44 years old,Pourover,,,Bold,Somewhat strong,Dark,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,2,Independent
25-34 years old,Americano,,,Chocolatey,Somewhat strong,Dark,Full caffeine,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,None,No affiliation
18-24 years old,Espresso,,,Fruity,Somewhat strong,Medium,Full caffeine,Female,,Bachelor's degree,,,,,
35-44 years old,Cappuccino,Half and half,,Nutty,Somewhat strong,Dark,Full caffeine,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,None,No affiliation
45-54 years old,Pourover,,,Fruity,Medium,Light,Full caffeine,,,,,,,,
18-24 years old,Regular drip coffee,,,Bold,Medium,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Student,None,Democrat
35-44 years old,Cortado,,,Sweet,Somewhat strong,Light,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,None,Independent
25-34 years old,Pourover,,,Juicy,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,No affiliation
35-44 years old,Other,,,Chocolatey,Somewhat strong,Medium,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,3,Independent
25-34 years old,Latte,Skim milk,,Nutty,Medium,Light,Full caffeine,,,,,,,,
35-44 years old,Cortado,,,Fruity,Medium,Medium,Full caffeine,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,1,Democrat
25-34 years old,Pourover,,,Juicy,Medium,Light,Full caffeine,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Democrat
25-34 years old,Iced coffee,"Half and half, Coffee creamer",,Sweet,Somewhat light,Medium,Decaf,Male,,Bachelor's degree,Other (please specify),Persian American,Employed part-time,None,Independent
25-34 years old,Latte,Whole milk,,Chocolatey,Somewhat strong,Light,Full caffeine,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,None,Independent
